Course Title,,Tags,,
Выращивание уток и гусей,утки гуси птицеводство выращивание сельское хозяйство ферма птицеферма домашняя птица агробизнес разведение водоплавающей птицы,"['Содержание птиц', 'Наблюдение за состоянием здоровья поголовья животных и птиц', 'Профилактика инфекционных и инвазионных болезней с/х животных и птиц']",,
Разведение КРС молочного направления,крс молочное животноводство корова ферма сельское хозяйство молоко производство агробизнес разведение скота молочная ферма,"['Обработка животных', 'Осеменение (естественное, искусственное)', 'Развитие животноводства', 'Содержание животных']",,
Выращивание лимона в теплицах,лимон теплица цитрусовые выращивание агротехника растениеводство защищенный грунт технология садоводство урожай фрукты,"['Контроль процесса развития растений', 'Агрохимические приемы возделывания культур']",,
Откорм крупного рогатого скота,крс откорм животноводство мясное скотоводство ферма сельское хозяйство мясо производство агробизнес выращивание бычков,"['Содержание животных', 'Предубойное содержание скота', 'Прием скота']",,
Выращивание рыбы в УЗВ,рыба узв аквакультура рыбоводство замкнутый цикл производство технология разведение рыбы аквафермерство бизнес,"['Кормление и выращивание рыб', 'Подготовка водоемов и оборудования к выращиванию', 'Выращивание товарной рыбы']",,
Жабық сумен жабдықтау жүйесі арқылы балық өсіру,балық өсіру аквакультура технология өндіріс су шаруашылығы балық шаруашылығы бизнес аквафермерство,"['Кормление и выращивание рыб', 'Подготовка водоемов и оборудования к выращиванию', 'Выращивание товарной рыбы']",,
Выращивание клубники от А до Я,клубника выращивание ягоды садоводство агротехника технология урожай сельское хозяйство фермерство бизнес земляника,"['Агрохимические приемы возделывания культур', 'Уход за посевами и посадками', 'Обработка почвы (садоводство)']",,
Құлпынай өсіру туралы А-дан Я-ға дейін,құлпынай өсіру жеміс бақша шаруашылығы технология өндіріс агротехника бизнес жидек,"['Агрохимические приемы возделывания культур', 'Уход за посевами и посадками', 'Обработка почвы (садоводство)']",,
Үйректер мен қаздарды өсіру,үйрек қаз құс шаруашылығы ферма ауыл шаруашылығы өндіріс технология бизнес,"['Содержание птиц', 'Наблюдение за состоянием здоровья поголовья животных и птиц', 'Профилактика инфекционных и инвазионных болезней с/х животных и птиц']",,
Ірі қара малды бордақылау,ірі қара мал бордақылау мал шаруашылығы ферма ет өндірісі технология бизнес,"['Содержание животных', 'Предубойное содержание скота', 'Прием скота']",,
Пчеловодство,пчеловодство мед пасека пчелы улей технология производство сельское хозяйство фермерство бизнес,"['Обслуживание пчелиных семей (зимовника, весенняя ревизия)', 'Определение качества матки в различное время пчеловодного сезона', 'Содержание и разведение племенных пчелиных семей', 'Селекционно-племенная работа с пчелами']",,
Ара шаруашылығы,ара шаруашылығы бал ара ұя технология өндіріс ауыл шаруашылығы бизнес,"['Обслуживание пчелиных семей (зимовника, весенняя ревизия)', 'Определение качества матки в различное время пчеловодного сезона', 'Содержание и разведение племенных пчелиных семей', 'Селекционно-племенная работа с пчелами']",,
Пішу және тігу курсы. 1-бөлім,пішу тігу тігін дизайн мода киім өндіріс технология тігіншілік курс,"['Работа на швейном оборудовании различного типа', 'Работы по пошиву изделий по индивидуальным заказам', 'Ручное шитье', 'Подготовка эскизов и лекал']",,
Изготовление мыла,мыло изготовление производство handmade косметика натуральное мыловарение химия технология бизнес,"['Приготовление растворов', 'Переработка химического сырья и производство химической продукции']",,
Жылыжайда лимон өсіру,лимон жылыжай өсімдік шаруашылығы технология өндіріс жеміс бақша,"['Контроль процесса развития растений', 'Агрохимические приемы возделывания культур']",,
Разведение кроликов,кролики разведение животноводство ферма сельское хозяйство мясо производство технология бизнес,"['Развитие животноводства', 'Содержание животных']",,
Сабын әзірлеу,сабын жасау өндіріс қолдан жасау косметика технология химия бизнес,"['Приготовление растворов', 'Переработка химического сырья и производство химической продукции']",,
Қоян өсіру,қоян өсіру мал шаруашылығы ферма ет өндірісі технология бизнес,"['Развитие животноводства', 'Содержание животных']",,
Саңырауқұлақты үй-жайда өсіру,саңырауқұлақ өсіру өндіріс ауыл шаруашылығы технология бизнес вешенка,"['Подготовка агрохимического оборудования', 'Агрохимические приемы возделывания культур', 'Выращивание высококачественных сортов семян']",,
Микрожасылды өсіру технологиясы,микрожасыл өсіру технология органикалық өнім өндіріс денсаулық тағам,"['Агрохимические приемы возделывания культур', 'Выращивание высококачественных сортов семян']",,
Құс шаруашылығы. Бройлер өсіру,құс шаруашылығы бройлер өсіру ферма ет өндірісі технология бизнес,"['Содержание птиц', 'Профилактика инфекционных и инвазионных болезней с/х животных и птиц', 'Санобработка животных и птицы']",,
Жылыжайларда қызанақ пен бұрыш өсіру,қызанақ бұрыш жылыжай көкөніс шаруашылығы технология өндіріс,"['Агрохимические приемы возделывания культур', 'Выращивание высококачественных сортов семян']",,
Сүтті ірі қара өсіру,сүтті ірі қара мал шаруашылығы ферма сүт өндірісі технология,"['Обработка животных', 'Осеменение (естественное, искусственное)', 'Развитие животноводства', 'Содержание животных']",,
Кассир,кассир бухгалтерия финансы учет деньги касса работа с клиентами 1с торговля розница магазин банк платежи,"['Ведение кассовых, организационно-распорядительных, отчетных документов', 'Оформление документов по кассовым операциям', 'Ведение кассовых операций', 'Работа в программе 1С:Бухгалтерия', 'Проверка правильности учета кассовых операций', 'Использование в работе контрольно-кассового оборудования']",,
Бухгалтер с нуля,бухгалтер учет финансы бухгалтерский учет проводки баланс налоги 1с начинающий бухгалтер основы бухгалтерии отчетность документация,"['Ведение кассовых, организационно-распорядительных, отчетных документов', 'Эксплуатация контрольно-кассовой техники (ККТ), выполнение расчета с покупателями', 'Начисление и перечисление налоговых и других обязательных платежей', 'Организация бухгалтерского учета и финансово-хозяйственной деятельности', 'Работа в программе 1С:Бухгалтерия', 'Ведение бухгалтерского учета и отчетности']",,
Автомеханик,автомеханик авто ремонт диагностика техническое обслуживание автомобиль механик сто автосервис двигатель ходовая часть,"['Проведение точных измерений для определения значений контролируемых параметров', 'Качественное ТО автомобиля', 'Ремонт и замена частей автомобиля', 'Знания принципов и устройств работы автомобилей разных марок и моделей', 'Комплектация туров']",,
Жылыжайда көкөніс өсіру технологиясы,жылыжай көкөніс өсіру технология өндіріс агротехника бақша шаруашылығы,['Агрохимические приемы возделывания культур'],,
Проводки,проводки бухгалтерия учет дебет кредит баланс финансы документация отчетность 1с,"['Организация бухгалтерского учета и финансово-хозяйственной деятельности', 'Организация бухгалтерского учета и финансово-хозяйственной деятельности']",,
Общий и деловой английский язык с преподавателем (24 урока),английский язык деловой общий разговорный бизнес коммуникация иностранный преподаватель обучение language business english,[],,
Жеміс-жидекті кондитерлік өнімдер,кондитерлік өнім жеміс жидек тәтті тағам кондитер технология өндіріс рецепт,"['Приготовление отделочных полуфабрикатов (сироп, крем, посыпка, украшение из мастики, шоколад, карамель, и т.д.)', 'Производство кондитерских изделий']",,
Суық және ыстық сусындарды дайындау,сусын дайындау ыстық суық напитки бариста кофе чай коктейль технология,"['Производство кондитерских изделий', 'Изготовление пищевых продуктов']",,
Қатпарлы қамыр дайындау технологиясы,қамыр технология наубайхана өндіріс пісіру тәтті тоқаш қатпарлы,"['Производство кондитерских изделий', 'Изготовление пищевых продуктов']",,
"Ұннан жасалған кондитер өнімдері, жіктелуі және дайындалу технологиясы",кондитер өнім ұн тағам технология өндіріс наубайхана пісіру жіктеу,"['Производство кондитерских изделий', 'Изготовление пищевых продуктов']",,
Баспа дизайнері,баспа дизайн графика полиграфия верстка макет типография дизайнер печать реклама,"['Разработка дизайна', 'Художественно-техническая разработка дизайн-проекта', 'Согласование и сдача откорректированного материала']",,
Управление по результатам,управление результат менеджмент эффективность кпи показатели цели планирование контроль,"['Проведение информационно - консультативной работы', 'Консультация клиентов', 'Работа с социальными группами']",,
Токарное дело и металлообработка,токарь металлообработка станок технология производство обработка металла слесарное дело механика,"['Нарезка зубьев различного профиля и шага на сложных деталях на зуборезных станках различных типов и моделей', 'Обработка изделий на токарно-расточном станке', 'Обработка на токарных, фрезерных, сверлильных, шлифовальных и др. станках', 'Токарная обработка деталей', 'Изготовление металлических моделей различной сложности и конфигураций']",,
Обогащение полезных ископаемых,обогащение руда полезные ископаемые технология горное дело производство минералы,"['Работа грохотов, сит', 'Управление процессами дробления материалов', 'Выгрузка измельченный руды из мельницы', 'Измельчение руды на мельничном оборудовании', 'Контроль дробления материалов']",,
Слесарное дело (по отраслям и видам),слесарь механика ремонт техническое обслуживание инструмент оборудование производство,"['Выполнение слесарных работ', 'Проведение точных измерений для определения значений контролируемых параметров', 'Обслуживание и ремонт запорной и регулирующей арматуры тепловых сетей', 'Обход и осмотр оборудования теплового пункта']",,
"Техническое обслуживание, ремонт и эксплуатация электромеханического оборудования (по видам и отраслям)",электромеханика оборудование ремонт обслуживание эксплуатация техника электрика механика,"['Монтаж и ремонт электроустановок и электрооборудования', 'Устранение повреждений параметров электрооборудования', 'Выполнение электромонтажных работ', 'Выполнение электромонтажных работ', 'Выполнение электро-слесарных работ']",,
"Эксплуатация, ремонт и техническое обслуживание тягового подвижного состава железных дорог",железная дорога локомотив ремонт обслуживание эксплуатация транспорт техника подвижной состав,"['Приемка/выдача локомотивов с СО/ТО, локомотивного оборудования', 'Формирование графика отцепок локомотивов на ТО/СО', 'Вождение поезда и выполнение графика движения', 'ТО локомотива', 'Устранение неисправностей на локомотиве', 'Осмотр и проверка устройств контроля схода подвижного состава']",,
Электрооборудование (по видам и отраслям),электрооборудование электрика монтаж ремонт обслуживание энергетика техника электроника,"['Безопасное выполнение монтажных и демонтажных работ', 'Монтаж, сборка и регулировка электрооборудования', 'Монтаж и ремонт электроустановок и электрооборудования', 'Выполнение электромонтажных работ']",,
Строительство подземных сооружений,строительство подземный сооружение шахта тоннель горное дело конструкция технология,"['Крепление забоя', 'Направление выемки (зарубки) полезного ископаемого и проведение выработки', 'Очистка скважин, стенок скважины и забоя от различных отложений', 'Поддержание в рабочем состоянии горной выработки', 'Разрушение породы отбойным молотком']",,
Управление персоналом,управление персонал hr менеджмент кадры сотрудники развитие мотивация обучение команда,"['Обслуживание физических и юридических лиц', 'Консультация клиентов', 'Взаимодействие с государственными органами']",,
Консерві өндірісіндегі шикізаттар мен дайын өнімдердегі құрғақ заттар,консервілеу өндіріс технология шикізат өнім құрғақ зат анализ,"['Проведение лабораторных исследований', 'Проведение точных измерений для определения значений контролируемых параметров', 'Входной контроль сырья и готовой продукции', 'Производство кисломолочных и детских молочных продуктов']",,
Кассир,кассир бухгалтерия финансы учет деньги касса работа с клиентами 1с торговля,"['Ведение кассовых, организационно-распорядительных, отчетных документов', 'Оформление документов по кассовым операциям', 'Ведение кассовых операций', 'Работа в программе 1С:Бухгалтерия', 'Проверка правильности учета кассовых операций', 'Использование в работе контрольно-кассового оборудования']",,
Трудовое посредничество,трудовое посредничество занятость работа биржа труда hr рекрутинг кадры подбор персонала,"['Обслуживание физических и юридических лиц', 'Консультация клиентов', 'Взаимодействие с государственными органами']",,
Еңбек делдалдығы,еңбек делдалдық жұмыспен қамту кадр мамандар іздеу жұмыс биржасы,"['Обслуживание физических и юридических лиц', 'Консультация клиентов', 'Взаимодействие с государственными органами']",,
Развитие ключевых компетенций у сотрудников служб занятости,компетенции развитие служба занятости hr персонал обучение навыки квалификация,['Консультация клиентов'],,
Экскурсоводы (теоретическая часть программы),экскурсовод туризм гид история краеведение достопримечательности экскурсия путешествия,"['Подготовка и разработка экскурсий', 'Сопровождение туристов (пассажирский автомобильный транспорт)', 'Взаимодействие с туристами и посетителями', 'Инструктаж и обеспечение безопасности туристов', 'Оказание экскурсионных услуг']",,
Нәтижелер бойынша басқару,нәтиже басқару менеджмент тиімділік кпи көрсеткіш жоспарлау бақылау,"['Проведение информационно - консультативной работы', 'Консультация клиентов', 'Работа с социальными группами']",,
Персоналды басқару,персонал басқару hr менеджмент кадр қызметкер дамыту мотивация оқыту,"['Обслуживание физических и юридических лиц', 'Консультация клиентов', 'Взаимодействие с государственными органами']",,
Общий и деловой английский язык с преподавателем (16 уроков),английский язык деловой общий разговорный бизнес преподаватель обучение english,[],,
Общий и деловой английский язык с преподавателем (8 уроков),английский язык деловой общий разговорный бизнес преподаватель обучение starter,[],,
Современное наращивание ногтей,наращивание ногти маникюр дизайн ногтей beauty мастер красота nail art,"['Комплектация туров', 'Наращивание ногтей']",,
"Дистанционное обучение в организациях технического и профессионального, послесреднего образования: от создания контента до организации образовательного процесса",дистанционное обучение образование онлайн контент тпо преподавание методика педагогика,"['Наставничество и обучение', 'Наставничество и обучение', 'Знание специальных требований к инструментам', 'Изучение лучших практик в образовании', 'Ведение учебно-производственной документации', 'Применение методов и приемов обучения']",,
"Преподавание специальных дисциплин на английском языке с применением методик CLIL, TBLT и модели BOPPPS",преподавание английский язык clil tblt boppps методика педагогика образование,"['Знание методов диагностики личностного потенциала обучающего', 'Разработка УМК предметов/дисциплин', 'Изучение лучших практик в образовании', 'Использование инновационных форм, методов и средств обучения', 'Использование критериальной системы оценивания', 'Моделирование урока', 'Выстраивание коммуникаций на родном или других языках']",,
Развитие и совершенствование IT-компетенций педагогов,it компетенции педагог цифровые технологии образование обучение информационные технологии,"['Наставничество и обучение', 'Изучение лучших практик в образовании', 'Использование инновационных форм, методов и средств обучения', 'Моделирование урока']",,
Жұмыспен қамту қызметінің қызметкерлері арасында негізгі құзыреттілікті дамыту,құзыреттілік даму жұмыспен қамту қызметкер оқыту біліктілік hr,['Проведение информационно - консультативной работы'],,
Организация самостоятельной работы студентов в условиях дистанционного обучения,дистанционное обучение студент самостоятельная работа образование методика педагогика,"['Наставничество и обучение', 'Наставничество и обучение', 'Проведение уроков производственного обучения', 'Изучение лучших практик в образовании', 'Использование инновационных форм, методов и средств обучения', 'Моделирование урока', 'Оценка практических навыков учащихся', 'Применение методов и приемов обучения']",,
